IATA Code,Airport Name,Country,City,TimeZone
YEG,Edmonton International Airport,Canada,Edmonton,America/Edmonton
YHM,John C. Munro Hamilton International Airport,Canada,Hamilton,America/Toronto
YHZ,Halifax / Stanfield International Airport,Canada,Halifax,America/Halifax
YOW,Ottawa Macdonald-Cartier International Airport,Canada,Ottawa,America/Toronto
YQB,Quebec Jean Lesage International Airport,Canada,Quebec,America/Toronto
YQM,Greater Moncton International Airport,Canada,Moncton,America/Halifax
YQR,Regina International Airport,Canada,Regina,America/Regina
YQX,Gander International Airport,Canada,Gander,America/St_Johns
YUL,Montreal / Pierre Elliott Trudeau International Airport,Canada,Montreal,America/Toronto
YVR,Vancouver International Airport,Canada,Vancouver,America/Vancouver
YWG,Winnipeg / James Armstrong Richardson International Airport,Canada,Winnipeg,America/Winnipeg
YXE,Saskatoon John G. Diefenbaker International Airport,Canada,Saskatoon,America/Regina
YXU,London Airport,Canada,London,America/Toronto
YYC,Calgary International Airport,Canada,Calgary,America/Edmonton
YYJ,Victoria International Airport,Canada,Victoria,America/Vancouver
YYT,St. John's International Airport,Canada,St. John's,America/St_Johns
YYZ,Lester B. Pearson International Airport,Canada,Toronto,America/Toronto
