IATA Code,Airport Name,Country,City,TimeZone
GKA,Goroka Airport,Papua New Guinea,Goroka,Pacific/Port_Moresby
MAG,Madang Airport,Papua New Guinea,Madang,Pacific/Port_Moresby
HGU,Mount Hagen Kagamuga Airport,Papua New Guinea,Mount Hagen,Pacific/Port_Moresby
LAE,Nadzab Airport,Papua New Guinea,Nadzab,Pacific/Port_Moresby
POM,Port Moresby Jacksons International Airport,Papua New Guinea,Port Moresby,Pacific/Port_Moresby
WWK,Wewak International Airport,Papua New Guinea,Wewak,Pacific/Port_Moresby
UAK,Narsarsuaq Airport,Greenland,Narssarssuaq,America/Godthab
GOH,Godthaab / Nuuk Airport,Greenland,Godthaab,America/Godthab
SFJ,Kangerlussuaq Airport,Greenland,Sondrestrom,America/Godthab
THU,Thule Air Base,Greenland,Thule,America/Thule
AEY,Akureyri Airport,Iceland,Akureyri,Atlantic/Reykjavik
EGS,EgilsstaÃ°ir Airport,Iceland,Egilsstadir,Atlantic/Reykjavik
HFN,HornafjÃ¶rÃ°ur Airport,Iceland,Hofn,Atlantic/Reykjavik
HZK,HÃºsavÃ­k Airport,Iceland,Husavik,Atlantic/Reykjavik
IFJ,ÃsafjÃ¶rÃ°ur Airport,Iceland,Isafjordur,Atlantic/Reykjavik
KEF,Keflavik International Airport,Iceland,Keflavik,Atlantic/Reykjavik
PFJ,PatreksfjÃ¶rÃ°ur Airport,Iceland,Patreksfjordur,Atlantic/Reykjavik
RKV,Reykjavik Airport,Iceland,Reykjavik,Atlantic/Reykjavik
SIJ,SiglufjÃ¶rÃ°ur Airport,Iceland,Siglufjordur,Atlantic/Reykjavik
VEY,Vestmannaeyjar Airport,Iceland,Vestmannaeyjar,Atlantic/Reykjavik
YAM,Sault Ste Marie Airport,Canada,Sault Sainte Marie,America/Toronto
\N,Winnipeg / St. Andrews Airport,Canada,Winnipeg,America/Winnipeg
\N,Halifax / CFB Shearwater Heliport,Canada,Halifax,America/Halifax
YAY,St. Anthony Airport,Canada,St. Anthony,America/St_Johns
YAZ,Tofino / Long Beach Airport,Canada,Tofino,America/Vancouver
YBB,Kugaaruk Airport,Canada,Pelly Bay,America/Edmonton
YBC,Baie Comeau Airport,Canada,Baie Comeau,America/Toronto
YBG,CFB Bagotville,Canada,Bagotville,America/Toronto
YBK,Baker Lake Airport,Canada,Baker Lake,America/Winnipeg
YBL,Campbell River Airport,Canada,Campbell River,America/Vancouver
YBR,Brandon Municipal Airport,Canada,Brandon,America/Winnipeg
YCB,Cambridge Bay Airport,Canada,Cambridge Bay,America/Edmonton
YCD,Nanaimo Airport,Canada,Nanaimo,America/Vancouver
YCG,Castlegar/West Kootenay Regional Airport,Canada,Castlegar,America/Vancouver
YCH,Miramichi Airport,Canada,Chatham,America/Halifax
YCL,Charlo Airport,Canada,Charlo,America/Halifax
YCO,Kugluktuk Airport,Canada,Coppermine,America/Edmonton
YCT,Coronation Airport,Canada,Coronation,America/Edmonton
YCW,Chilliwack Airport,Canada,Chilliwack,America/Vancouver
YCY,Clyde River Airport,Canada,Clyde River,America/Toronto
YZS,Coral Harbour Airport,Canada,Coral Harbour,America/Coral_Harbour
YDA,Dawson City Airport,Canada,Dawson,America/Vancouver
